cluster_id,size,dominant_category,category_mix,year_min,year_max,top_terms,title_keywords,top_case_types,top_articles,representative_decisions
0,27,data_provision_request,other:13; data_provision_request:13; enforcement:1,2013,2026,건강보험; 강보험; 건강보; 강보; 강보험공; 험공단; 건강보험공; 강보험공단; 보험공단; 보험공; 험공; 국민건,위한; 보유; 제공; 국민건강보험공단; 요청에; 개인정보보호; 연차보고서; 국회; 제출; 업무를; 제공요청에; 요청,목적 외 이용; 유출·침해; 정보주체 권리보장; 민감정보·고유식별정보; 동의·고지 위반; 보유기간·파기 위반; 제3자 제공,제67조; 제64조; 제18조; 제8조; 제3조,10369; 547; 6909; 8887; 425; 429; 973; 47
15,440,enforcement,enforcement:375; other:55; public_system_inspection:10,2012,2026,피심; 피심인; 심인; 조치; 보호; 사실; 피심인은; 심인은,개인정보보호; 위반행위에; 시정조치에; 공공기관의; 개선권고에; 등에; 보호조치; 의료분야; 결과에; 분야; 사전실태점검; 실태에,유출·침해; 동의·고지 위반; 안전조치 미흡; 정보주체 권리보장; 민감정보·고유식별정보; 보유기간·파기 위반; 처리위탁; 접근권한·내부통제,제29조; 제2조; 제8조; 제75조; 제6조; 제7조; 제63조; 제66조,10131; 1977; 1979; 9537; 7153; 9129; 9671; 9675
2,350,enforcement,enforcement:348; other:2,2021,2026,과태; 과태료; 태료; 기준; 행위; 피심; 피심인; 심인; 위반; 위반행위; 반행위,개인정보보호; 위반행위에; 시정조치에; 공공기관의; 등에; 정보통신서비스제공자의; 조치방안에; 개선권고에,동의·고지 위반; 유출·침해; 안전조치 미흡; 정보주체 권리보장; 민감정보·고유식별정보; 보유기간·파기 위반; 처리위탁; 접근권한·내부통제,제63조; 제75조; 제7조; 제2조; 제29조; 제8조; 제6조; 제30조,5279; 5289; 6261; 8273; 10489; 6027; 8005; 7163
8,117,enforcement,enforcement:117,2022,2025,피심인; 피심; 심인; 00; 납부; 위반; en; 납부기한; 부기한,개인정보보호; 위반행위에; 시정조치에,동의·고지 위반; 유출·침해; 처리위탁; 목적 외 이용; 영상정보 처리; 정보주체 권리보장; 민감정보·고유식별정보; 안전조치 미흡,제2조; 제64조; 제28조; 제18조; 제5조; 제63조; 제75조; 제26조,10069; 10109; 7283; 9253; 10347; 10349; 10139; 5325
11,295,other,other:170; data_provision_request:60; enforcement:22,2012,2026,제공; oth; her; othe; other; ther; ot; the; er,위한; 보유; 제공; 요청에; 제공에; 이용에; 결과; 처리에; 업무를; 영상정보; 시행령; 개인정보보호,목적 외 이용; 영상정보 처리; 유출·침해; 민감정보·고유식별정보; 동의·고지 위반; 처리위탁; 정보주체 권리보장; 보유기간·파기 위반,제18조; 제24조; 제15조; 제21조; 제3조; 제26조; 제10조; 제2조,1029; 993; 191; 987; 979; 10181; 1033; 1381
6,230,other,other:115; data_provision_request:54; complaint_or_interpretation:48,2012,2022,법」; 보호법」; 호법」; 목적; 제공; 제1,위한; 제공; 보유; 관련; 제공에; 영상정보; 요청에; 질의; 심의; 처리에; 의결; 요청,목적 외 이용; 유출·침해; 동의·고지 위반; 영상정보 처리; 민감정보·고유식별정보; 정보주체 권리보장; 처리위탁; 제3자 제공,제18조; 제2조; 제3조; 제15조; 제17조; 제4조; 제23조; 제24조의2,1075; 1005; 1343; 133; 1017; 1047; 1375; 929
7,648,privacy_impact_review,privacy_impact_review:648,2018,2026,규칙」; 칙」; 규칙; 시행규칙」; 행규칙」; 시행규칙; 행규칙; 시행규; 행규; 개정안; 부개정안; 일부개정안,일부개정안에; 시행규칙; 평가에; 법률; 결과; 단체설립에; 등에; 예우; 지원에; 제정안에; 시행령; 특별법,,제17조; 제5조; 제3조; 제18조; 제2조; 제4조; 제7조; 제5조의2,655; 5431; 5; 839; 813; 1915; 1901; 1239
5,359,privacy_impact_review,privacy_impact_review:359,2020,2026,령」일부; 령」일; 령」일부개; 행령」일; 시행령」일; 행령」일부; 령」; 시행령」; 행령」; 」일; 」일부; 」일부개정,일부개정안에; 시행령; 평가에; 법률; 결과; 특별법; 등에; 지원에; 위한; 개정안에; 보호법; 일부,,제6조; 제18조; 제14조; 제23조; 제30조; 제70조의2; 제65조의2; 제8조,5145; 4979; 4919; 4965; 4913; 4983; 9663; 4867
3,333,privacy_impact_review,privacy_impact_review:333,2020,2026,정안; 개정안; 부개정안; 일부개정안; 령」; 행령」; 시행령」; 부개정; 부개; 일부개정; 일부개; 개정,일부개정안에; 결과; 시행령; 평가에; 시행규칙; 법률; 제정안에; 등에; 조세특례제한법; 관리에; 소득세법; 상속세,,제18조; 제15조; 제19조; 제4조; 제42조; 제60조의2; 제9조; 제20조,6271; 8283; 639; 1929; 2277; 53; 1947; 2167
13,264,privacy_impact_review,privacy_impact_review:264,2020,2026,국토; 토교; 토교통; 국토교통; 국토교; 교통부; 국토교통부; 토교통부; 통부; 교통; 안(국토; 안(국토교,일부개정안에; 평가에; 시행규칙; 시행령; 결과; 특별법; 법률; 제정안에; 등에; 자동차관리법; 지원에; 규칙,,제42조; 제9조; 제15조; 제63조; 제52조; 제18조; 제26조의2; 제64조,465; 481; 1843; 9587; 1213; 1327; 2067; 7279
17,167,privacy_impact_review,privacy_impact_review:167,2020,2024,지부; 보건복지부; 건복지부; 복지부; 보건복; 보건복지; 건복지; 건복; 복지; 보건; (보건복지; (보건복,일부개정안에; 평가에; 시행규칙; 결과; 시행령; 법률; 지원에; 이용; 사회보장급여의; 제공; 수급권자; 발굴에,,제11조; 제17조; 제18조; 제13조; 제19조의2; 제42조; 제42조의2; 제12조,1817; 2093; 5187; 4847; 607; 2349; 2383; 6087
16,156,privacy_impact_review,privacy_impact_review:156,2020,2026,관광; 체육; 문화; 제정안; 화체; 화체육; 문화체; 문화체육; 체육관광부; 체육관광; 육관광부; 문화체육관,평가에; 제정안에; 시행령; 시행규칙; 일부개정안에; 법률; 결과; 진흥법; 관광진흥법; 등에; 활용에; 위한,,제3조; 제21조; 제18조; 제14조; 제7조; 제16조; 제19조; 제6조,2079; 1211; 4975; 9789; 1961; 1747; 795; 1217
9,130,privacy_impact_review,privacy_impact_review:130,2020,2025,환경부; 경부; 환경; 안(환경; 안(환; 정안(환; 안(환경부; 정안(환경; (환경부; (환경; (환; 환경부장,일부개정안에; 평가에; 시행규칙; 법률; 시행령; 결과; 등에; 관리에; 수도법; 재활용촉진에; 환경오염피해; 배상책임,,제45조의2; 제21조의3; 제18조; 제23조; 제24조; 제24조의2; 제46조,9779; 4921; 9615; 5023; 865; 10029; 6175; 8153
1,105,privacy_impact_review,privacy_impact_review:105,2020,2026,축산; 산식품; 산식; 식품부; 산식품부; 농림축산식; 품부; 축산식품부; 축산식; 림축산식; 축산식품; 림축산식품,평가에; 일부개정안에; 시행규칙; 시행령; 법률; 결과; 제정안에; 지원에; 육성; 수의사법; 식물방역법; 일부,,제14조; 제15조; 제18조; 제26조; 제28조; 제9조의2; 제11조; 제20조,2479; 2215; 5031; 385; 10113; 6377; 8383; 2369
14,104,privacy_impact_review,privacy_impact_review:104,2020,2024,수산; 해양; 양수산; 해양수; 해양수산; 수산부; 양수; 양수산부; 해양수산부; 산부; 안(해양수; (해양수,일부개정안에; 평가에; 시행규칙; 결과; 시행령; 법률; 제정안에; 규칙; 관리법; 육성; 지원에; 특별법,,제21조의2; 제31조의2; 제55조; 제16조; 제23조; 제2조; 제6조의3; 제54조,331; 265; 289; 805; 819; 1755; 285; 6799
12,94,privacy_impact_review,privacy_impact_review:94,2020,2025,고용; 고용노동부; 용노동부; 노동부; 고용노동; 고용노; 용노동; 용노; 동부; 노동; (고용노; (고용노동,일부개정안에; 평가에; 시행규칙; 결과; 시행령; 법률; 등에; 고용보험법; 고용보험; 산업재해보상보험의; 일부; 개정안에,,제18조; 제117조; 제16조의2; 제28조; 제45조; 제48조의6; 제48조의7; 제54조의2,2243; 253; 2465; 1283; 1771; 345; 2331; 861
10,39,privacy_impact_review,privacy_impact_review:39,2020,2024,의약품; 의약; 약품; 품안; 품안전; 안전처; 의약품안; 의약품안전; 약품안; 약품안전; 약품안전처; 품의약품,일부개정안에; 시행규칙; 평가에; 결과; 식품위생법; 법률; 시행령; 등의; 의약품; 규칙; 안전에; 마약류,,제28조의2; 제18조; 제20조; 제30조; 제32조; 제33조; 제39조; 제5조,7137; 9113; 4909; 1953; 5029; 5177; 1821; 2273
4,132,public_system_inspection,public_system_inspection:96; enforcement:36,2023,2025,공공시스; 공시스템; 공공시; 공공시스템; 공시스; 공시; 공공; 중관; 집중관리시; 중관리시스; 집중관리; 집중관,실태점검; 개선권고에; 결과; 집중관리시스템; 결과에; 공공시스템; 운영기관; 시정조치에; 공공기관; 사전; 등에,유출·침해; 안전조치 미흡; 정보주체 권리보장,제29조; 제30조; 제30조의2; 제61조; 제2조; 제3조; 제63조의2; 제66조,10251; 10265; 10211; 10267; 10225; 10239; 10255; 10257
