article_pair,count
제63조+제75조,629
제2조+제75조,539
제75조+제7조,523
제63조+제7조,518
제2조+제63조,513
제29조+제75조,483
제29조+제2조,468
제29조+제63조,453
제2조+제7조,435
제7조+제8조,435
제29조+제7조,434
제75조+제8조,427
제29조+제6조,420
제63조+제8조,415
제2조+제6조,406
제6조+제75조,403
제6조+제7조,391
제63조+제6조,388
제2조+제8조,383
제29조+제8조,377
제2조+제66조,377
제66조+제75조,345
제29조+제66조,341
제5조+제63조,326
제5조+제75조,326
제66조+제7조,315
제63조+제66조,314
제2조+제5조,307
제6조+제8조,298
제66조+제8조,294
제29조+제30조,292
제66조+제6조,282
제2조+제30조,273
제29조+제4조,266
제30조+제6조,263
제4조+제7조,259
제4조+제75조,257
제29조+제48조의2,255
제48조의2+제63조,252
제48조의2+제75조,252
제4조+제63조,251
제29조+제5조,250
제48조의2+제7조,250
제5조+제7조,240
제48조의2+제4조,239
제30조+제75조,238
제5조+제8조,238
제4조+제8조,233
제2조+제4조,224
제5조+제6조,224
제30조+제63조,220
제48조의2+제8조,220
제2조+제64조,213
제4조+제66조,206
제2조+제48조의2,205
제30조+제7조,201
제48조의2+제66조,196
제64조+제75조,189
제4조+제6조,187
제18조+제63조,186
제18조+제75조,185
제18조+제5조,182
제48조의2+제6조,181
제30조+제8조,179
제5조+제66조,177
제18조+제2조,176
제63조+제64조,165
제2조+제3조,164
제39조의4+제63조,159
제39조의4+제75조,159
제39조의4+제7조,159
제29조+제64조,157
제3조+제6조,153
제30조+제66조,149
제39조의4+제48조의4,148
제4조+제5조,146
제64조+제8조,146
제29조+제3조,146
제64조+제7조,145
제48조의4+제63조,145
제48조의4+제75조,145
제48조의4+제7조,145
제64조+제6조,141
제48조의2+제5조,137
제3조+제66조,133
제3조+제75조,132
제2조+제39조의4,132
제39조의4+제66조,128
제39조의4+제8조,127
제29조+제39조의4,126
제30조+제5조,125
제64조+제66조,125
제2조+제61조,122
제5조+제64조,122
제2조+제48조의4,120
제39조의4+제48조의2,119
제61조+제75조,118
제39조의4+제4조,118
제48조의4+제66조,118
제3조+제7조,117
제48조의4+제8조,114
제29조+제48조의4,113
제3조+제63조,112
제39조의15+제8조,111
제61조+제66조,110
제18조+제29조,109
제39조의15+제48조의11,108
제39조의15+제48조의2,108
제48조의11+제48조의2,108
제48조의11+제8조,108
제39조의15+제7조,107
제39조의4+제6조,107
제48조의2+제48조의4,107
제39조의15+제5조,106
제39조의15+제63조,106
제39조의15+제75조,106
제48조의11+제5조,106
제39조의15+제6조,105
제48조의11+제6조,105
제48조의4+제4조,105
제48조의11+제7조,104
제48조의11+제63조,103
제48조의11+제75조,103
제29조+제61조,101
제39조의15+제4조,101
제48조의4+제6조,101
제2조+제39조의15,99
제39조의15+제66조,99
제48조의11+제4조,99
제18조+제7조,98
제61조+제63조,96
제29조+제39조의15,96
제29조+제48조의11,96
제2조+제48조의11,96
제48조의11+제66조,96
제21조+제75조,94
제28조+제64조,93
제28조+제2조,91
제61조+제8조,88
제30조+제64조,87
제18조+제8조,87
제61조+제7조,86
제18조+제6조,86
제30조+제3조,86
제30조+제61조,85
제26조+제2조,85
제26조+제64조,84
제34조+제75조,83
제4조+제64조,82
제21조+제29조,82
제21조+제2조,82
제18조+제30조,81
제18조+제64조,79
제21조+제63조,78
제39조의4+제5조,78
제24조+제75조,77
제3조+제8조,77
제15조+제2조,75
제2조+제34조,74
제34조+제63조,74
제61조+제6조,74
제21조+제6조,74
제28조+제75조,74
제34조+제6조,73
제3조+제4조,73
제29조+제64조의2,70
제64조의2+제6조,70
제39조의15+제39조의4,70
제39조의4+제48조의11,70
제48조의2+제64조,70
제29조+제34조,69
제21조+제7조,69
제48조의4+제5조,69
제8조+제9조,68
제24조+제2조,68
제6조+제9조,67
제11조+제8조,66
제64조의2+제75조,66
제21조+제66조,66
제11조+제30조,65
제34조+제7조,65
제29조+제9조,64
제2조+제64조의2,64
제30조+제64조의2,64
제24조+제29조,64
제24조의2+제75조,64
제26조+제28조,64
제11조+제7조,63
제39조의15+제48조의4,63
제48조의11+제48조의4,63
제26조+제75조,63
제11조+제29조,62
제64조의2+제66조,62
제18조+제66조,62
제24조+제63조,62
제7조+제9조,61
제61조+제64조,60
제64조의2+제7조,60
제24조의2+제63조,60
제30조+제34조,59
제24조의2+제2조,59
제28조+제63조,59
제11조+제75조,58
제34조+제66조,58
제24조+제30조,58
제11조+제66조,57
제75조+제9조,57
제26조+제63조,57
제60조의2+제64조의2,56
제24조+제6조,56
제11조+제6조,55
제30조+제9조,55
제60조의2+제6조,55
제64조의2+제8조,55
제15조+제66조,55
제15조+제8조,55
제10조+제8조,54
제11조+제2조,54
제11조+제63조,54
제3조+제5조,54
제21조+제30조,54
제21조+제8조,54
제15조+제75조,54
제30조+제60조의2,53
제34조+제8조,53
제5조+제61조,53
제76조+제8조,53
제66조+제9조,52
제28조+제5조,52
제10조+제6조,51
제29조+제60조의2,51
제2조+제9조,51
제21조+제5조,51
제15조+제6조,51
제10조+제60조의2,50
제10조+제64조의2,50
제60조의2+제7조,50
제60조의2+제8조,50
제64조의2+제9조,50
제24조의2+제7조,50
제6조+제76조,50
제3조+제61조,50
제10조+제30조,49
제10조+제9조,49
제60조의2+제9조,49
제63조+제9조,49
제24조+제7조,49
제15조+제29조,49
제10조+제29조,48
제63조+제64조의2,48
제76조+제7조,48
제3조+제48조의2,48
제11조+제64조의2,47
제24조의2+제29조,47
제18조+제61조,47
제15조+제7조,47
제10조+제7조,46
제15조+제64조,46
제24조+제24조의2,46
제3조+제64조,46
제10조+제11조,45
제11조+제60조의2,45
제11조+제9조,45
제34조+제64조,45
제24조의2+제8조,45
제25조+제75조,45
제17조+제2조,45
제15조+제5조,45
제61조+제64조의2,44
제34조+제39조,44
제39조의4+제3조,44
제34조+제61조,43
제64조+제64조의2,43
제24조+제8조,43
제24조의2+제6조,43
제25조+제2조,43
제39조+제6조,43
제18조+제28조,43
제60조의2+제75조,42
제15조+제61조,42
제3조+제48조의4,42
제23조+제2조,41
제22조+제75조,41
제25조+제63조,41
제26조+제29조,41
제26조+제5조,41
제10조+제2조,40
제10조+제66조,40
제2조+제60조의2,40
제60조의2+제66조,40
제22조+제2조,40
제34조+제40조,40
제75조+제76조,40
제28조+제29조,40
제2조+제30조의2,40
제30조의2+제3조,40
제18조+제26조,40
제24조+제5조,39
제21조+제24조,39
제28조+제6조,39
제15조+제17조,39
제25조+제29조,39
제29조+제30조의2,39
제30조+제30조의2,39
제15조+제63조,39
제21조+제48조의2,39
제60조의2+제63조,38
제24조의2+제66조,38
제25조+제5조,38
제25조+제66조,38
제25조+제64조,38
제29조+제63조의2,38
제2조+제63조의2,38
제30조+제63조의2,38
제30조의2+제63조의2,38
제30조의2+제66조,38
제30조의2+제6조,38
제3조+제63조의2,38
제22조+제8조,38
제10조+제75조,37
제29조+제39조,37
제29조+제76조,37
제24조+제66조,36
제22조+제63조,36
제22조+제66조,36
제25조+제6조,36
제40조+제6조,36
제63조+제76조,36
제21조+제61조,36
제2조+제76조,36
제5조+제76조,36
제63조의2+제66조,36
제63조의2+제6조,36
제4조+제61조,35
제23조+제75조,35
제39조+제75조,35
제21조+제64조,35
제24조+제61조,35
제17조+제66조,35
제17조+제75조,35
제28조+제66조,35
제15조+제4조,35
제24조의2+제30조,34
제39조+제7조,34
제66조+제76조,34
제28조+제7조,34
제15조+제30조,34
제17조+제8조,34
제15조+제18조,34
제10조+제63조,33
제2조+제65조,33
제65조+제66조,33
제65조+제75조,33
제18조+제3조,33
제22조+제7조,33
제30조+제39조,33
제39조+제63조,33
제24조의2+제61조,33
제26조+제66조,33
제11조+제61조,32
제34조+제64조의2,32
제61조+제65조,32
제23조+제29조,32
제23조+제7조,32
제18조+제25조,32
제21조+제3조,32
제26조+제6조,32
제21조+제4조,32
제15조+제25조,32
제17조+제63조,32
제17조+제7조,32
제23조+제8조,32
제39조의15+제64조,32
제5조+제9조,31
제23조+제30조,31
제23조+제63조,31
제30조+제76조,31
제3조+제64조의2,31
제15조+제26조,31
제28조+제8조,31
제39조의4+제64조,31
제25조+제8조,31
제11조+제5조,30
제30조+제4조,30
제64조+제65조,30
제64조+제9조,30
제64조의2+제65조,30
제29조+제40조,30
제40조+제75조,30
제3조+제65조,30
제2조+제39조,30
제28조+제3조,30
제17조+제6조,30
제48조의11+제64조,30
제29조+제65조,29
제25조+제7조,29
제39조+제40조,29
제40조+제63조,29
제17조+제61조,29
제15조+제28조,29
제17조+제22조,29
제23조+제5조,28
제40조+제7조,28
제28조+제61조,28
제26조+제30조,28
제15조+제31조,28
제34조+제5조,27
제61조+제9조,27
제30조+제40조,27
제39조+제66조,27
제23조+제61조,27
제15조+제3조,27
제48조의4+제64조,27
제39조의6+제63조,27
제39조의6+제75조,27
제39조의6+제7조,27
제39조의3+제8조,27
제23조+제66조,26
제39조+제8조,26
제76조+제9조,26
제27조+제29조,26
제28조+제4조,26
제10조+제61조,25
제11조+제34조,25
제24조+제64조,25
제24조의2+제5조,25
제26조+제61조,25
제15조+제21조,25
제39조의6+제66조,25
제39조의6+제8조,25
제60조의2+제61조,24
제18조+제24조,24
제22조+제6조,24
제40조+제8조,24
제30조+제31조,24
제25조+제26조,24
제22조+제61조,24
제15조+제38조,24
제74조+제76조,24
제39조의6+제48조의2,24
제18조+제21조,24
제17조+제39조의3,24
제2조+제39조의3,24
제27조+제2조,24
제25조+제4조,24
제65조+제6조,23
제18조+제23조,23
제17조+제64조,23
제18조+제4조,23
제15조+제27조,23
제26조+제27조,23
제25조+제38조,23
제25조+제31조,23
제17조+제5조,23
제39조의3+제7조,23
제22조+제4조,23
제15조+제33조,23
제15조+제59조,23
제10조+제34조,22
제34조+제60조의2,22
제4조+제9조,22
제5조+제64조의2,22
제24조+제64조의2,22
제23조+제6조,22
제22조+제5조,22
제40조+제66조,22
제21조+제34조,22
제24조+제34조,22
제2조+제40조,22
제2조+제31조,22
제31조+제64조,22
제31조+제66조,22
제26조+제7조,22
제22조+제29조,22
제21조+제26조,22
제22조+제64조,22
제26조+제31조,22
제27조+제31조,22
제31조+제38조,22
제29조+제39조의6,22
제17조+제48조의2,22
제25조+제27조,22
제25조+제48조의2,22
제2조+제39조의6,22
제11조+제64조,21
제30조+제65조,21
제34조+제9조,21
제60조의2+제64조,21
제24조의2+제64조,21
제11조+제76조,21
제64조의2+제76조,21
제39조+제64조,21
제40조+제64조,21
제11조+제18조,21
제2조+제38조,21
제26조+제8조,21
제74조+제8조,21
제39조의6+제4조,21
제39조의3+제63조,21
제39조의3+제66조,21
제18조+제48조의2,21
제21조+제39조의4,21
제39조의6+제6조,21
제25조+제33조,21
제25조+제59조,21
제26조+제33조,21
제26조+제38조,21
제26조+제59조,21
제27조+제33조,21
제27조+제38조,21
제27조+제59조,21
제31조+제33조,21
제31조+제59조,21
제33조+제38조,21
제33조+제59조,21
제38조+제59조,21
제38조+제64조,21
제10조+제5조,20
제10조+제64조,20
제10조+제76조,20
제60조의2+제76조,20
제21조+제24조의2,20
제18조+제34조,20
제29조+제31조,20
제15조+제22조,20
제24조의2+제4조,20
제26조+제34조,20
제27조+제66조,20
제39조의6+제48조의5,20
제48조의5+제63조,20
제48조의5+제66조,20
제48조의5+제75조,20
제48조의5+제7조,20
제48조의5+제8조,20
제21조+제39조의15,20
제21조+제48조의11,20
제15조+제39조의3,20
제39조의3+제75조,20
제17조+제4조,20
제22조+제48조의2,20
제48조의2+제61조,20
제27조+제64조,20
제30조+제48조의2,20
제24조+제34조의2,20
제24조+제3조,19
제21조+제64조의2,19
제64조+제76조,19
제17조+제29조,19
제17조+제18조,19
제6조+제74조,19
제15조+제74조,19
제15조+제76조,19
제28조+제74조,19
제28조+제76조,19
제4조+제76조,19
제48조의2+제48조의5,19
제15조+제48조의2,19
제39조의3+제6조,19
제2조+제34조의2,19
제34조의2+제75조,19
제29조+제33조,19
제29조+제59조,19
제33조+제64조,19
제59조+제64조,19
제18조+제24조의2,18
제24조의2+제3조,18
제10조+제3조,18
제11조+제3조,18
제34조+제3조,18
제31조+제6조,18
제25조+제61조,18
제24조+제4조,18
제27조+제75조,18
제74조+제7조,18
제39조의3+제5조,18
제22조+제39조의3,18
제27조+제6조,18
제21조+제48조의4,18
제39조의6+제5조,18
제34조의2+제63조,18
제2조+제33조,18
제4조+제64조의2,17
제63조+제65조,17
제3조+제9조,17
제11조+제24조,17
제22조+제3조,17
제25조+제3조,17
제11조+제39조,17
제39조+제64조의2,17
제31조+제75조,17
제31조+제8조,17
제25조+제28조,17
제15조+제23조,17
제29조+제48조의5,17
제48조의5+제4조,17
제39조의3+제48조의2,17
제25조+제30조,17
제2조+제48조의5,17
제29조+제38조,17
제38조+제6조,17
제2조+제59조,17
제5조+제60조의2,16
제65조+제7조,16
제65조+제8조,16
제24조+제60조의2,16
제10조+제24조,16
제11조+제21조,16
제24조+제9조,16
제31조+제7조,16
제21조+제31조,16
제17조+제26조,16
제17조+제25조,16
제4조+제74조,16
제27조+제63조,16
제12조+제22조,16
제12조+제4조,16
제17조+제39조의15,16
제23조+제4조,16
제34조의2+제8조,16
제38조+제66조,16
제59조+제66조,16
제24조의2+제64조의2,15
제18조+제22조,15
제35조+제75조,15
제31조+제61조,15
제3조+제76조,15
제12조+제2조,15
제24조+제76조,15
제21조+제25조,15
제17조+제30조,15
제12조+제8조,15
제27조+제30조,15
제39조의3+제61조,15
제39조의3+제64조,15
제27조+제8조,15
제29조+제34조의2,15
제30조+제34조의2,15
제24조+제40조의2,15
제2조+제40조의2,15
제34조의2+제40조의2,15
제30조+제33조,15
제30조+제38조,15
제33조+제6조,15
제59조+제6조,15
제38조+제7조,15
제35조+제63조,14
제10조+제39조,14
제11조+제40조,14
제34조+제76조,14
제39조+제60조의2,14
제31조+제63조,14
제28조+제30조,14
제26조+제3조,14
제17조+제31조,14
제2조+제74조,14
제17조+제3조,14
제64조+제74조,14
제5조+제74조,14
제39조의15+제39조의3,14
제26조+제48조의2,14
제27조+제7조,14
제39조의6+제64조,14
제48조의5+제5조,14
제48조의5+제6조,14
제30조+제40조의2,14
제34조의2+제6조,14
제40조의2+제63조,14
제40조의2+제6조,14
제40조의2+제75조,14
제40조의2+제8조,14
제33조+제66조,14
제38조+제8조,14
제11조+제65조,13
제34조+제4조,13
제34조+제65조,13
제65조+제9조,13
제15조+제24조,13
제15조+제24조의2,13
제24조의2+제60조의2,13
제2조+제35조,13
제39조+제9조,13
제10조+제24조의2,13
제24조+제65조,13
제24조의2+제9조,13
제3조+제60조의2,13
제28조+제64조의2,13
제28조+제65조,13
제12조+제64조,13
제24조의2+제34조,13
제39조의15+제3조,13
제3조+제48조의11,13
제17조+제21조,13
제17조+제23조,13
제21조+제27조,13
제22조+제26조,13
제17조+제38조,13
제66조+제74조,13
제17조+제48조의11,13
제39조의3+제48조의11,13
제27조+제28조,13
제27조+제4조,13
제24조+제48조의2,13
제25조+제39조의15,13
제25조+제48조의11,13
제24조의2+제48조의2,13
제34조의2+제5조,13
제30조+제59조,13
제10조+제21조,12
제21조+제60조의2,12
제22조+제25조,12
제35조+제5조,12
제40조+제64조의2,12
제11조+제24조의2,12
제16조+제64조,12
제19조+제2조,12
제28조+제34조,12
제12조+제29조,12
제22조+제24조,12
제4조+제64조의3,12
제5조+제64조의3,12
제64조의3+제8조,12
제48조의2+제9조,12
제27조+제5조,12
제12조+제15조,12
제12조+제17조,12
제12조+제6조,12
제25조+제39조의4,12
제39조의15+제39조의6,12
제39조의4+제39조의6,12
제39조의6+제48조의11,12
제34조의2+제7조,12
제39조의4+제61조,12
제29조+제40조의2,12
제33조+제8조,12
제59조+제8조,12
제17조+제59조,12
제27조+제48조의2,12
제34조+제39조의4,12
제34조+제48조의4,12
제10조+제4조,11
제10조+제65조,11
제4조+제60조의2,11
제60조의2+제65조,11
제21조+제9조,11
제18조+제35조,11
제10조+제40조,11
제39조+제76조,11
제40조+제60조의2,11
제21조+제65조,11
제16조+제2조,11
제12조+제3조,11
제12조+제66조,11
제21조+제22조,11
제15조+제34조,11
제27조+제61조,11
제3조+제74조,11
제17조+제28조,11
제27조+제3조,11
제12조+제48조의2,11
제12조+제5조,11
제15조+제39조의15,11
제15조+제48조의11,11
제22조+제39조의15,11
제39조의15+제9조,11
제48조의11+제9조,11
제12조+제26조,11
제17조+제27조,11
제22조+제23조,11
제26조+제4조,11
제25조+제48조의4,11
제21조+제39조의6,11
제39조의6+제48조의4,11
제11조+제23조,11
제28조+제48조의2,11
제40조의2+제5조,11
제38조+제61조,11
제59조+제61조,11
제48조의4+제61조,11
제33조+제75조,11
제33조+제7조,11
제38조+제75조,11
제59조+제7조,11
제18조+제9조,10
제40조+제9조,10
제39조+제5조,10
제39조+제61조,10
제17조+제24조의2,10
제15조+제9조,10
제12조+제28조,10
제12조+제61조,10
제18조+제39조,10
제16조+제7조,10
제22조+제30조,10
제22조+제31조,10
제22조+제27조,10
제26조+제40조,10
제27조의3+제74조,10
제27조의3+제76조,10
제39조의3+제3조,10
제31조+제48조의2,10
제34조의2+제76조,10
제40조의2+제76조,10
제40조의2+제7조,10
제48조의5+제64조,10
제21조+제33조,10
제21조+제38조,10
제21조+제59조,10
제17조+제33조,10
제38조+제63조,10
제5조+제65조,9
제35조+제7조,9
제40조+제76조,9
제24조의2+제65조,9
제61조+제76조,9
제16조+제75조,9
제21조+제28조,9
제12조+제30조,9
제12조+제75조,9
제23조+제64조,9
제32조의2+제63조,9
제32조의2+제66조,9
제32조의2+제75조,9
제32조의2+제7조,9
제23조+제24조,9
제23조+제24조의2,9
제19조+제5조,9
제27조의3+제66조,9
제27조의3+제8조,9
제2조+제64조의3,9
제18조+제39조의3,9
제18조+제27조,9
제26조의2+제2조,9
제26조의2+제5조,9
제39조의3+제4조,9
제18조+제76조,9
제29조+제74조,9
제12조+제25조,9
제12조+제27조,9
제22조+제28조,9
제23조+제48조의2,9
제18조+제39조의4,9
제33조+제61조,9
제16조+제8조,9
제11조+제4조,8
제4조+제65조,8
제15조+제64조의2,8
제23조+제3조,8
제40조+제61조,8
제16조+제66조,8
제17조+제24조,8
제21조+제76조,8
제23조+제64조의2,8
제24조+제26조,8
제24조의2+제26조,8
제18조+제64조의2,8
제2조+제32조의2,8
제32조의2+제8조,8
제15조+제16조,8
제22조+제24조의2,8
제27조의3+제2조,8
제27조의3+제6조,8
제27조의3+제7조,8
제15조+제64조의3,8
제28조+제64조의3,8
제4조+제69조의2,8
제64조의3+제6조,8
제64조의3+제74조,8
제64조의3+제76조,8
제15조+제27조의3,8
제27조의3+제28조,8
제27조의3+제4조,8
제29조+제39조의3,8
제30조+제39조의3,8
제12조+제26조의2,8
제12조+제39조의3,8
제22조+제26조의2,8
제22조+제48조의11,8
제26조의2+제4조,8
제26조의2+제8조,8
제12조+제63조,8
제12조+제7조,8
제41조+제5조,8
제26조+제39조,8
제21조+제39조의3,8
제24조의2+제39조의15,8
제24조의2+제48조의11,8
제39조의15+제48조의5,8
제48조의11+제48조의5,8
제34조+제34조의2,8
제18조+제48조의4,8
제12조+제31조,8
제12조+제33조,8
제12조+제38조,8
제12조+제59조,8
제22조+제33조,8
제22조+제38조,8
제22조+제59조,8
제28조+제31조,8
제28조+제33조,8
제28조+제38조,8
제28조+제59조,8
제31조+제4조,8
제33조+제48조의2,8
제33조+제4조,8
제38조+제3조,8
제38조+제48조의2,8
제38조+제4조,8
제3조+제59조,8
제48조의2+제59조,8
제4조+제59조,8
제33조+제63조,8
제30조+제32조,7
제32조+제63조,7
제32조+제75조,7
제32조+제8조,7
제18조+제42조,7
제31조+제3조,7
제40조+제5조,7
제14조의2+제66조,7
제17조+제64조의2,7
제19조+제75조,7
제13조+제2조,7
제13조+제75조,7
제28조+제39조,7
제25조+제34조,7
제28조+제40조,7
제15조+제19조,7
제19조+제3조,7
제29조+제32조의2,7
제37조+제75조,7
제18조+제74조,7
제13조+제18조,7
